flag,n_false,n_true,mean_false,mean_true,median_false,median_true,median_diff_true_minus_false,u_stat,p_value,rank_biserial,p_adj_bh,significant_bh_0_05,effect_size_label
is_conservative_like,216,12,0.003412939056202217,0.0014784733454386394,0.00311124324798584,0.0012829303741455078,-0.001828312873840332,346.0,1.9614201445998817e-05,-0.7330246913580247,0.00017652781301398936,True,large
class_change,51,177,0.002768139044443766,0.0034675786724198336,0.001979827880859375,0.003166019916534424,0.0011861920356750488,5953.0,0.0005261750920430619,0.3189320926110557,0.0015785252761291858,True,moderate
hydro_group_change,51,177,0.002768139044443766,0.0034675786724198336,0.001979827880859375,0.003166019916534424,0.0011861920356750488,5953.0,0.0005261750920430619,0.3189320926110557,0.0015785252761291858,True,moderate
charge_change,108,120,0.002945631742477417,0.00364006906747818,0.002595841884613037,0.0033356547355651855,0.0007398128509521484,8143.0,0.0008288788136325949,0.25663580246913575,0.0018649773306733386,True,small
aromatic_change,178,50,0.0034789486547534385,0.002713673114776611,0.0031929314136505127,0.0026232004165649414,-0.0005697309970855713,3468.0,0.017237773925703744,-0.2206741573033708,0.03102799306626674,True,small
introduces_glycine,217,11,0.003252183512059225,0.004473881288008256,0.0028960704803466797,0.004028141498565674,0.0011320710182189941,1682.0,0.0222264736308468,0.4093003770423125,0.0333397104462702,True,moderate
introduces_proline,217,11,0.0032438973677323163,0.00463734431700273,0.0028960704803466797,0.004059970378875732,0.0011638998985290527,1634.0,0.039248121316701384,0.3690825303728529,0.05046187026433035,False,moderate
size_change,72,156,0.0030629965994093153,0.0034256459046632815,0.00262567400932312,0.0031490325927734375,0.0005233585834503174,6380.0,0.09912218415178502,0.13603988603988615,0.09912218415178502,False,small
introduces_cysteine,217,11,0.0033539712154370847,0.002465887503190474,0.003073573112487793,0.0025318264961242676,-0.0005417466163635254,831.0,0.08986414198496848,-0.3037285295349812,0.09912218415178502,False,moderate
